485	15557
511	15557
573	15557
591	15557
1382	15557
2071	15557
2472	15557
2522	15557
2689	15557
4108	15557
4157	15557
11556	15557
12439	15557
12778	15557
13039	15557
13203	15557
13322	15557
13497	15557
14898	15557
15647	15557
15699	15557
15795	15557
15820	15557
16089	15557
16834	15557
16901	15557
16977	15557
16997	15557
17023	15557
17030	15557
17046	15557
17054	15557
17080	15557
17091	15557
17146	15557
17157	15557
17200	15557
17243	15557
17256	15557
17374	15557
17375	15557
17588	15557
18834	15557
18915	15557
19623	15557
19762	15557
20146	15557
20203	15557
21397	15557
21536	15557
21910	15557
22160	15557
22171	15557
22295	15557
22428	15557
23220	15557
24577	15557
1008	4134
3370	4134
14513	4134
14516	4134
15454	4134
